Date,Open,High,Low,Close,Volume
8/5/91,0.4442,0.4442,0.4308,0.433,100766400
8/6/91,0.4353,0.4487,0.4263,0.442,220427200
8/7/91,0.442,0.4554,0.4408,0.4498,211612800
8/8/91,0.4531,0.4621,0.4464,0.4509,189448000
8/9/91,0.4509,0.4554,0.4442,0.4531,154403200
8/12/91,0.4531,0.4665,0.4509,0.4621,142531200
8/13/91,0.4643,0.4821,0.4643,0.4777,286585600
8/14/91,0.4888,0.4911,0.481,0.49,200715200
8/15/91,0.4911,0.4911,0.4732,0.4754,145544000
8/16/91,0.471,0.4844,0.4665,0.4754,158804800
8/19/91,0.442,0.4609,0.433,0.4509,322481600
8/20/91,0.4598,0.4621,0.4509,0.4554,199427200
8/21/91,0.4688,0.4833,0.4643,0.4799,223372800
8/22/91,0.4821,0.4888,0.4799,0.4844,165648000
8/23/91,0.4821,0.4955,0.471,0.4732,240419200
8/26/91,0.4732,0.4777,0.4688,0.4732,101595200
8/27/91,0.4732,0.4821,0.471,0.4821,100352000
8/28/91,0.4821,0.4844,0.4743,0.4754,107587200
8/29/91,0.4754,0.481,0.4688,0.4732,113355200
8/30/91,0.4732,0.4754,0.4665,0.4732,66136000
9/3/91,0.471,0.4754,0.4643,0.4688,68376000
9/4/91,0.471,0.471,0.4587,0.4598,119784000
9/5/91,0.4598,0.4621,0.4531,0.4554,77884800
9/6/91,0.4554,0.4621,0.4509,0.4598,79273600
9/9/91,0.4621,0.4777,0.4598,0.4754,126481600
9/10/91,0.471,0.4766,0.4442,0.4475,182840000
9/11/91,0.4531,0.4554,0.442,0.4509,178001600
9/12/91,0.4576,0.4576,0.4442,0.452,119212800
9/13/91,0.4464,0.4487,0.433,0.4342,166734400
9/16/91,0.4397,0.4397,0.4152,0.4219,205777600
9/17/91,0.4196,0.4375,0.4174,0.4375,135408000
9/18/91,0.4353,0.4509,0.433,0.4475,121352000
9/19/91,0.4487,0.4509,0.442,0.4442,178337600
9/20/91,0.4442,0.4554,0.442,0.452,188148800
9/23/91,0.4464,0.4531,0.4397,0.442,87662400
9/24/91,0.442,0.4498,0.4308,0.4487,106097600
9/25/91,0.4487,0.4509,0.4397,0.4509,54465600
9/26/91,0.4487,0.4487,0.4375,0.4464,71220800
9/27/91,0.4464,0.4531,0.4353,0.4375,62809600
9/30/91,0.4397,0.4442,0.4375,0.442,63201600
10/1/91,0.4397,0.4576,0.4375,0.4531,131376000
10/2/91,0.4621,0.4621,0.442,0.4442,17987200
10/3/91,0.4464,0.4464,0.4241,0.4263,181003200
10/4/91,0.4286,0.4353,0.4241,0.4308,79374400
10/7/91,0.4286,0.4353,0.4241,0.4297,64702400
10/8/91,0.4297,0.433,0.4152,0.4308,172256000
10/9/91,0.4308,0.4353,0.4263,0.4286,132742400
10/10/91,0.4353,0.4375,0.4174,0.4263,157214400
10/11/91,0.4297,0.4364,0.4152,0.433,120052800
10/14/91,0.4375,0.4487,0.4353,0.4453,111876800
10/15/91,0.4509,0.4688,0.4464,0.4688,288209600
10/16/91,0.4688,0.4821,0.4665,0.4777,200872000
10/17/91,0.4732,0.4754,0.4598,0.4676,151614400
10/18/91,0.4922,0.4955,0.4866,0.4911,446958400
10/21/91,0.4933,0.4989,0.4844,0.4888,116692800
10/22/91,0.4955,0.5022,0.4866,0.4866,208208000
