Date,Open,Low,Low,Close,Volume
8/12/20,155.4,158.7195,155.071,158.112,70442000
8/13/20,159.1495,160.876,157.75,158.051,62980000
8/14/20,158.909,158.912,156,157.401,55034000
8/17/20,158.656,159.7485,157.709,159.1205,53824000
8/18/20,160.6,166,160.291,165.6245,106920000
8/19/20,165.1505,165.795,162.8,163.024,83702000
8/20/20,162.6,165.631,161.9,164.8685,66650000
8/21/20,164.75,165.72,163.7695,164.236,71518000
8/24/20,165.5075,169.016,162.878,165.373,93326000
8/25/20,164.7495,167.87,163.35,167.3245,79856000
8/26/20,167.5555,172.587,167.2285,172.0925,130174000
8/27/20,172.5025,172.65,168.9,170,85296000
8/28/20,171.15,171.6685,169.325,170.09,57940000
8/31/20,170.4495,174.75,170.25,172.548,83718000
9/1/20,174.479,175.6935,173.35,174.956,68644000
9/2/20,177.35,177.6125,174.3345,176.5725,78630000
9/3/20,174.25,174.4205,165.15,168.4,163222000
9/4/20,165.9,169.075,155.5565,164.731,175636000
9/8/20,157.2,162.5425,156.5,157.492,121884000
9/9/20,160.1495,165.159,159.25,163.4305,103774000
9/10/20,165.361,167.4945,158.5275,158.7555,106614000
9/11/20,160.4345,160.867,154.199,155.811,101880000
9/14/20,158.647,159.3695,154.8,155.1485,90592000
9/15/20,156.808,158.751,155.446,157.8065,80430000
9/16/20,158.9995,159.362,153.7075,153.905,90244000
9/17/20,150.4625,151.4715,148.6275,150.4365,128982000
9/18/20,151.587,151.89,145.277,147.7455,177852000
9/21/20,145.325,148.1,143.55,148.0235,122358000
9/22/20,151.692,156.6995,150.01,156.4495,138976000
9/23/20,156.0215,156.35,149.619,149.993,113054000
9/24/20,148.8895,153.465,148.25,150.9895,110588000
9/25/20,152.743,155.077,149.95,154.7565,92304000
9/28/20,157.4425,158.752,155.8585,158.7025,84484000
9/29/20,158.7695,159.413,156.627,157.244,69916000
9/30/20,157.057,160.644,156.6995,157.4365,97922000
10/1/20,160.4,161.2,158.6,161.063,99438000
10/2/20,157.6815,159.79,156.15,156.25,112262000
10/5/20,157.292,160.1265,157.0425,159.96,75506000
10/6/20,158.25,159.1,154.5,154.998,101738000
10/7/20,156.75,160,156.6195,159.7845,86188000
10/8/20,161.2495,161.6645,158.7495,159.5275,63482000
10/9/20,160.5,164.4495,159.8915,164.3325,98158000
10/12/20,167.497,174.812,166.9775,172.1465,167284000
10/13/20,173.3995,174.619,171.211,172.1815,114894000
10/14/20,172.35,173.244,167,168.1855,116254000
10/15/20,164.6005,167.794,164,166.9325,104468000
10/16/20,168.1615,169.983,158,163.6355,129488000
10/19/20,164.9805,166.45,159.637,160.3605,104472000
10/20/20,161.114,163.3,159.6005,160.8505,90194000
10/21/20,160.625,161.694,158,159.247,91854000
10/22/20,159.4935,159.9375,156.097,158.82,84240000
10/23/20,159.55,160.2665,157,160.22,69334000
10/26/20,159.937,164.149,157.665,160.352,118024000
10/27/20,161.247,164.583,160.565,164.3165,85820000
10/28/20,162.465,163.201,158.1235,158.139,111766000
10/29/20,160.0635,162.8625,158.2,160.5505,131930000
10/30/20,157.8875,158.35,150.95,151.8075,167728000
11/2/20,153.087,153.9855,147.506,150.224,145148000
11/3/20,150.9265,153.745,149.049,152.4205,97958000
